annotator	change	title	author	character_1	character_2	affinity	coarse_category	fine_category	detail
annotator_1	yes	Don Quixote	Miguel de Cervantes	Sancho Panza	Don Quixote	positive	professional	servant	he ends up taking more authority and advising Don Quixote
annotator_1	no	Don Quixote	Miguel de Cervantes	Rocinante	Don Quixote	positive	professional	person offering service to client	Rocinante is his horse
annotator_1	no	Don Quixote	Miguel de Cervantes	Dulcinea del Toboso	Don Quixote	positive	social	unrequited love interest	NR
annotator_1	no	Don Quixote	Miguel de Cervantes	Cervantes	Cide Hamete Benengeli	positive	professional	colleague	NR
annotator_1	no	Don Quixote	Miguel de Cervantes	The Duke and Duchess	Don Quixote	negative	social	enemy	NR
annotator_1	no	Don Quixote	Miguel de Cervantes	The Duke and Duchess	Sancho Panza	negative	social	enemy	NR
annotator_1	no	Don Quixote	Miguel de Cervantes	Don Quixote	Altisidora	negative	social	lovers	she is mocking him
annotator_1	no	Don Quixote	Miguel de Cervantes	Altisidora	The Duke and Duchess	positive	professional	servant	NR
annotator_1	no	Don Quixote	Miguel de Cervantes	The priest	Don Quixote	positive	social	friend	NR
annotator_1	no	Don Quixote	Miguel de Cervantes	Sampson Carrasco	Don Quixote	negative	social	enemy	NR
annotator_2	no	Don Quixote	Miguel de Cervantes	Don Quixote	Sancho Panza	neutral	professional	employer	Sancho is Don's squire.
annotator_2	no	Don Quixote	Miguel de Cervantes	Don Quixote	Rocinante	positive	social	friend	Rocinante is Don's horse.
annotator_2	no	Don Quixote	Miguel de Cervantes	Sancho Panza	Dapple	neutral	social	friend	Dappie is Sancho's donkey.
annotator_2	no	Don Quixote	Miguel de Cervantes	Dulcinea del Toboso	Don Quixote	neutral	social	unrequited love interest	NR
annotator_2	no	Don Quixote	Miguel de Cervantes	The Duke and Duchess	Don Quixote	neutral	social	rivals	NR
annotator_2	no	Don Quixote	Miguel de Cervantes	The Duke and Duchess	Sancho Panza	neutral	social	rivals	NR
annotator_2	no	Don Quixote	Miguel de Cervantes	Altisidora	The Duke and Duchess	neutral	professional	employee	Altisidora is The Duchess' maid.
annotator_2	no	Don Quixote	Miguel de Cervantes	Sampson Carrasco	Don Quixote	negative	social	rivals	NR
annotator_2	no	Don Quixote	Miguel de Cervantes	The priest	Don Quixote	positive	social	friend	NR
annotator_2	no	Don Quixote	Miguel de Cervantes	The barber	Don Quixote	positive	social	friend	NR
annotator_3	no	Little Women	Louisa May Alcott	Marmee	Mr. March	positive	familial	husband/wife	NR
annotator_3	no	Little Women	Louisa May Alcott	Mr. Laurence	Josephine March	positive	social	friend	NR
annotator_3	no	Little Women	Louisa May Alcott	Mr. Laurence	Beth March	positive	social	friend	NR
annotator_3	no	Little Women	Louisa May Alcott	Meg March	Sallie Gardiner	positive	social	friend	NR
annotator_3	no	Little Women	Louisa May Alcott	Josephine March	Meg March	positive	familial	brother/sister	NR
annotator_3	yes	Little Women	Louisa May Alcott	Meg March	Mr. Brooke	positive	social	acquaintance	They eventually get married.
annotator_3	no	Little Women	Louisa May Alcott	Amy March	Aunt Carrol	positive	familial	niece/nephew	NR
annotator_3	yes	Little Women	Louisa May Alcott	Amy March	Laurie Laurence	positive	social	friend	They fall in love and get married.
annotator_3	yes	Little Women	Louisa May Alcott	Josephine March	Frederick Bhaer	positive	social	acquaintance	They get married eventually.
annotator_3	no	Little Women	Louisa May Alcott	Hannah	Marmee	positive	professional	servant	NR
annotator_1	no	Little Women	Louisa May Alcott	Josephine March	Meg March	positive	familial	brother/sister	NR
annotator_1	no	Little Women	Louisa May Alcott	Josephine March	Beth March	positive	familial	brother/sister	NR
annotator_1	no	Little Women	Louisa May Alcott	Josephine March	Amy March	positive	familial	brother/sister	NR
annotator_1	no	Little Women	Louisa May Alcott	Josephine March	Laurie Laurence	positive	social	friend	he is also like an adopted brother to the family
annotator_1	no	Little Women	Louisa May Alcott	Marmee	Josephine March	positive	familial	parent	NR
annotator_1	no	Little Women	Louisa May Alcott	Mr. March	Josephine March	positive	familial	parent	NR
annotator_1	no	Little Women	Louisa May Alcott	Mr. Laurence	Laurie Laurence	positive	familial	grandparent	NR
annotator_1	no	Little Women	Louisa May Alcott	Hannah	Marmee	positive	professional	servant	NR
annotator_1	no	Little Women	Louisa May Alcott	Mr. Brooke	Laurie Laurence	positive	professional	teacher	NR
annotator_1	no	Little Women	Louisa May Alcott	Aunt Carrol	Florence	neutral	familial	parent	NR
annotator_4	no	Antony and Cleopatra	William Shakespeare	Antony	Cleopatra	positive	professional	lovers	NR
annotator_4	no	Antony and Cleopatra	William Shakespeare	Octavius Caesar	Antony	negative	social	colleague	NR
annotator_4	yes	Antony and Cleopatra	William Shakespeare	Enobarbus	Antony	positive	professional	colleague	NR
annotator_4	no	Antony and Cleopatra	William Shakespeare	Pompey	Antony	negative	professional	enemy	NR
annotator_4	no	Antony and Cleopatra	William Shakespeare	Octavia	Antony	negative	familial	husband/wife	NR
annotator_4	no	Antony and Cleopatra	William Shakespeare	Ventidius	Antony	positive	professional	employee	NR
annotator_4	no	Antony and Cleopatra	William Shakespeare	Cleopatra	Diomedes	positive	professional	employer	NR
annotator_4	no	Antony and Cleopatra	William Shakespeare	Menas	Pompey	positive	professional	employee	NR
